unit_id	expected_status	label_source	eval_tags	text	rendered	note
ja_cc_level2:0000000021:u0004	OK	manual_dev_numeric_expansion_v1	dev_batch_0003,numeric_blank	この記事では、パーソナルトレーニングのメリットを5つお話しします。	この/コノ 記事/キジ で/デ は/ハ 、/、 パーソナル/パーソナル トレーニング/トレーニング の/ノ メリット/メリット を/ヲ 5/ つ/ツ お/オ 話し/ハナシ し/シ ます/マス 。/。	Draft OK numeric case: blank numeric readings are intentional; non-numeric yomi was visually checked as acceptable for first-pass triage.
ja_cc_level2:0000000021:u0043	OK	manual_dev_numeric_expansion_v1	dev_batch_0003,numeric_blank	続けられるか分からないからまずは一度試してみたい、という方のために1回コースもあります。	続け/ツヅケ られる/ラレル か/カ 分から/ワカラ ない/ナイ から/カラ まず/マズ は/ハ 一/イチ 度/ド 試し/タメシ て/テ み/ミ たい/タイ 、/、 と/ト いう/イウ 方/カタ の/ノ ため/タメ に/ニ 1/ 回/カイ コース/コース も/モ あり/アリ ます/マス 。/。	Draft OK numeric case: blank numeric readings are intentional; non-numeric yomi was visually checked as acceptable for first-pass triage.
ja_cc_level2:0000000022:u0005	OK	manual_dev_numeric_expansion_v1	dev_batch_0003,numeric_blank	30分程度でもOKなので、会う頻度を上げたほうが一層親しくなることができるというわけです。	30/ 分/フン 程度/テイド で/デ も/モ OK/オーケー な/ナ の/ノ で/デ 、/、 会う/アウ 頻度/ヒンド を/ヲ 上げ/アゲ た/タ ほう/ホウ が/ガ 一層/イッソウ 親しく/シタシク なる/ナル こと/コト が/ガ できる/デキル と/ト いう/イウ わけ/ワケ です/デス 。/。	Draft OK numeric case: blank numeric readings are intentional; non-numeric yomi was visually checked as acceptable for first-pass triage.
ja_cc_level2:0000000022:u0016	OK	manual_dev_numeric_expansion_v1	dev_batch_0003,numeric_blank	結婚に適した年齢層の男女のうち５０％ほどについては、未婚であり相手を見つけようとしています。	結婚/ケッコン に/ニ 適し/テキシ た/タ 年齢層/ネンレイソウ の/ノ 男女/ダンジョ の/ノ うち/ウチ ５０/ ％/パーセント ほど/ホド に/ニ つい/ツイ て/テ は/ハ 、/、 未婚/ミコン で/デ あり/アリ 相手/アイテ を/ヲ 見つけよう/ミツケヨウ と/ト し/シ て/テ い/イ ます/マス 。/。	Draft OK numeric case: blank numeric readings are intentional; non-numeric yomi was visually checked as acceptable for first-pass triage.
ja_cc_level2:0000000023:u0004	OK	manual_dev_numeric_expansion_v1	dev_batch_0003,numeric_blank	明日、16日（日）が共通テスト最終日　受けられる方、頑張ってほしいです。	明日/アス 、/、 16/ 日/ニチ （/（ 日/ニチ ）/） が/ガ 共通/キョウツウ テスト/テスト 最終日/サイシュウビ 受け/ウケ られる/ラレル 方/カタ 、/、 頑張っ/ガンバッ て/テ ほしい/ホシイ です/デス 。/。	Draft OK numeric case: blank numeric readings are intentional; non-numeric yomi was visually checked as acceptable for first-pass triage.
ja_cc_level2:0000000024:u0002	OK	manual_dev_numeric_expansion_v1	dev_batch_0003,numeric_blank	方針1.個人情報の利用の目的をできる限り特定し、当該目的の達成に必要な範囲内で適切に取扱います。	方針/ホウシン 1/ ./. 個人/コジン 情報/ジョウホウ の/ノ 利用/リヨウ の/ノ 目的/モクテキ を/ヲ できる/デキル 限り/カギリ 特定/トクテイ し/シ 、/、 当該/トウガイ 目的/モクテキ の/ノ 達成/タッセイ に/ニ 必要/ヒツヨウ な/ナ 範囲/ハンイ 内/ナイ で/デ 適切/テキセツ に/ニ 取扱い/トリアツカイ ます/マス 。/。	Draft OK numeric case: blank numeric readings are intentional; non-numeric yomi was visually checked as acceptable for first-pass triage.
ja_cc_level2:0000000024:u0003	OK	manual_dev_numeric_expansion_v1	dev_batch_0003,numeric_blank	方針2.個人情報は、適法かつ適正な方法で取得します。	方針/ホウシン 2/ ./. 個人/コジン 情報/ジョウホウ は/ハ 、/、 適法/テキホウ かつ/カツ 適正/テキセイ な/ナ 方法/ホウホウ で/デ 取得/シュトク し/シ ます/マス 。/。	Draft OK numeric case: blank numeric readings are intentional; non-numeric yomi was visually checked as acceptable for first-pass triage.
ja_cc_level2:0000000024:u0004	OK	manual_dev_numeric_expansion_v1	dev_batch_0003,numeric_blank	方針3.個人情報は、本人の同意なく第三者に提供しません。	方針/ホウシン 3/ ./. 個人/コジン 情報/ジョウホウ は/ハ 、/、 本人/ホンニン の/ノ 同意/ドウイ なく/ナク 第三者/ダイサンシャ に/ニ 提供/テイキョウ し/シ ませ/マセ ん/ン 。/。	Draft OK numeric case: blank numeric readings are intentional; non-numeric yomi was visually checked as acceptable for first-pass triage.
ja_cc_level2:0000000024:u0005	OK	manual_dev_numeric_expansion_v1	dev_batch_0003,numeric_blank	方針4.個人情報の管理にあたっては、漏洩・滅失・毀損の防止その他の安全管理のために必要かつ適切な措置を講じるよう努めます。	方針/ホウシン 4/ ./. 個人/コジン 情報/ジョウホウ の/ノ 管理/カンリ に/ニ あたっ/アタッ て/テ は/ハ 、/、 漏洩/ロウエイ ・/・ 滅失/メッシツ ・/・ 毀損/キソン の/ノ 防止/ボウシ その/ソノ 他/タ の/ノ 安全/アンゼン 管理/カンリ の/ノ ため/タメ に/ニ 必要/ヒツヨウ かつ/カツ 適切/テキセツ な/ナ 措置/ソチ を/ヲ 講じる/コウジル よう/ヨウ 努め/ツトメ ます/マス 。/。	Draft OK numeric case: blank numeric readings are intentional; non-numeric yomi was visually checked as acceptable for first-pass triage.
ja_cc_level2:0000000024:u0006	OK	manual_dev_numeric_expansion_v1	dev_batch_0003,numeric_blank	方針5.個人情報の取扱いにあたっては、その情報を提供した本人が適切に関与し得るよう努め、可能な限り正確かつ最新の内容に保つよう努力します。	方針/ホウシン 5/ ./. 個人/コジン 情報/ジョウホウ の/ノ 取扱い/トリアツカイ に/ニ あたっ/アタッ て/テ は/ハ 、/、 その/ソノ 情報/ジョウホウ を/ヲ 提供/テイキョウ し/シ た/タ 本人/ホンニン が/ガ 適切/テキセツ に/ニ 関与/カンヨ し/シ 得る/ウル よう/ヨウ 努め/ツトメ 、/、 可能/カノウ な/ナ 限り/カギリ 正確/セイカク かつ/カツ 最新/サイシン の/ノ 内容/ナイヨウ に/ニ 保つ/タモツ よう/ヨウ 努力/ドリョク し/シ ます/マス 。/。	Draft OK numeric case: blank numeric readings are intentional; non-numeric yomi was visually checked as acceptable for first-pass triage.
