unit_id	expected_status	first_pass_expected_status	label_source	text	rendered	note	conceptual_note
ja_cc_level2:0000000001:u0014	Fix	Review	known_or_suspected_mechanical_error	やめておけば良かった・・・ 給料日直後にギャンブルや支払いで一円も無くなってしまうこと、ありますよね？	やめ/ヤメ て/テ おけ/オケ ば/バ 良かっ/ヨカッ た/タ ・/・ ・/・ ・/・ 給料/キュウリョウ 日直/ニッチョク 後/ゴ に/ニ ギャンブル/ギャンブル や/ヤ 支払い/シハライ で/デ 一/イチ 円/エン も/モ 無くなっ/ナクナッ て/テ しまう/シマウ こと/コト 、/、 あり/アリ ます/マス よ/ヨ ね/ネ ？/？	Wrong split/reading for 給料日直後.	Manual split of Review: concrete yomi error is present and should be repairable from the available unit/context.
ja_cc_level2:0000000002:u0009	Fix	Review	known_or_suspected_mechanical_error	古めですが、古本屋さんではありません。	古め/フルメ です/デス が/ガ 、/、 古/コ 本屋/ホンヤ さん/サン で/デ は/ハ あり/アリ ませ/マセ ん/ン 。/。	Wrong split/reading for 古本屋; should be treated as a repair case.	Manual split of Review: concrete yomi error is present and should be repairable from the available unit/context.
ja_cc_level2:0000000002:u0027	Fix	Review	known_or_suspected_mechanical_error	ワタクシは、きっとこの百均の実用編も買うことになるでしょう。	ワタクシ/ワタクシ は/ハ 、/、 きっと/キット この/コノ 百/ヒャク 均/ヒトシ の/ノ 実用/ジツヨウ 編/ヘン も/モ 買う/カウ こと/コト に/ニ なる/ナル でしょう/デショウ 。/。	Wrong reading in 百均 context.	Manual split of Review: concrete yomi error is present and should be repairable from the available unit/context.
ja_cc_level2:0000000013:u0082	Fix	Review	known_or_suspected_mechanical_error	十五 　官公職、位階勲等、学位その他法令により定められた称号若しくは外国における これらに準ずるものを詐称し、又は資格がないのにかかわらず、法令により定めら れた制服若しくは勲章、記章その他の標章若しくはこれらに似せて作つた物を用いた者	十/ジュウ 五/ゴ 官/カン 公職/コウショク 、/、 位/クライ 階/カイ 勲等/クントウ 、/、 学位/ガクイ その/ソノ 他/タ 法令/ホウレイ に/ニ より/ヨリ 定め/サダメ られ/ラレ た/タ 称号/ショウゴウ 若しくは/モシクワ 外国/ガイコク に/ニ おけ/オケ る/ル これ/コレ ら/ラ に/ニ 準ずる/ジュンズル もの/モノ を/ヲ 詐称/サショウ し/シ 、/、 又/マタ は/ハ 資格/シカク が/ガ ない/ナイ の/ノ に/ニ かかわら/カカワラ ず/ズ 、/、 法令/ホウレイ に/ニ より/ヨリ 定め/サダメ ら/ラ れ/レ た/タ 制服/セイフク 若しくは/モシクワ 勲章/クンショウ 、/、 記/キ 章/ショウ その/ソノ 他/タ の/ノ 標章/ヒョウショウ 若しくは/モシクワ これ/コレ ら/ラ に/ニ 似せ/ニセ て/テ 作/サク つ/ツ た/タ 物/モノ を/ヲ 用い/モチイ た/タ 者/モノ	Known orthographic reading issue: モシクワ should be モシクハ.	Manual split of Review: concrete yomi error is present and should be repairable from the available unit/context.
ja_cc_level2:0000000016:u0021	Fix	Review	known_or_suspected_mechanical_error	今は詳しく書けないけど、実現に向けて様々な方にご協力いただいてます。	今/イマ は/ハ 詳しく/クワシク 書け/カケ ない/ナイ けど/ケド 、/、 実現/ジツゲン に/ニ 向け/ムケ て/テ 様々/サマザマ な/ナ 方/ホウ に/ニ ご/ゴ 協力/キョウリョク いただい/イタダイ て/テ ます/マス 。/。	Likely person-sense 方; should be カタ.	Manual split of Review: concrete yomi error is present and should be repairable from the available unit/context.
ja_cc_level2:0000000021:u0010	Fix	Review	known_or_suspected_mechanical_error	最近では注目されることが多く、老若男女問わず多くの方が利用するようになりました。	最近/サイキン で/デ は/ハ 注目/チュウモク さ/サ れる/レル こと/コト が/ガ 多く/オオク 、/、 老若/ロウニャク 男女/ナンニョ 問わ/トワ ず/ズ 多く/オオク の/ノ 方/ホウ が/ガ 利用/リヨウ する/スル よう/ヨウ に/ニ なり/ナリ まし/マシ た/タ 。/。	Likely person-sense 方; should be カタ.	Manual split of Review: concrete yomi error is present and should be repairable from the available unit/context.
ja_cc_level2:0000000026:u0004	Fix	Review	known_or_suspected_mechanical_error	▽内野席、外野席は同伴の子供（小学生まで）の方は無料です。	▽/▽ 内野/ナイヤ 席/セキ 、/、 外野/ガイヤ 席/セキ は/ハ 同伴/ドウハン の/ノ 子供/コドモ （/（ 小学生/ショウガクセイ まで/マデ ）/） の/ノ 方/ホウ は/ハ 無料/ムリョウ です/デス 。/。	Likely person-sense 方; should be カタ.	Manual split of Review: concrete yomi error is present and should be repairable from the available unit/context.
ja_cc_level2:0000000035:u0006	Fix	Review	known_or_suspected_mechanical_error	さらにイルカが大好きな方にむけた1日トレーナー体験プログラムも。	さらに/サラニ イルカ/イルカ が/ガ 大好き/ダイスキ な/ナ 方/ホウ に/ニ むけ/ムケ た/タ 1/イチ 日/ニチ トレーナー/トレーナー 体験/タイケン プログラム/プログラム も/モ 。/。	Likely person-sense 方; should be カタ.	Manual split of Review: concrete yomi error is present and should be repairable from the available unit/context.
ja_cc_level2:0000000052:u0003	Fix	Review	known_or_suspected_mechanical_error	ZOOMのお部屋には最大で40名の方にご参加いただき、リアル会場では新潟／上越会場で10名程度の方にもお越しいただきました。	ZOOM/ズーム の/ノ お/オ 部屋/ヘヤ に/ニ は/ハ 最大/サイダイ で/デ 4/ヨン 0/レイ 名/メイ の/ノ 方/ホウ に/ニ ご/ゴ 参加/サンカ いただき/イタダキ 、/、 リアル/リアル 会場/カイジョウ で/デ は/ハ 新潟/ニイガタ ／/／ 上越/ジョウエツ 会場/カイジョウ で/デ 1/イチ 0/レイ 名/メイ 程度/テイド の/ノ 方/カタ に/ニ も/モ お/オ 越し/コシ いただき/イタダキ まし/マシ た/タ 。/。	Likely person-sense 方; should be カタ.	Manual split of Review: concrete yomi error is present and should be repairable from the available unit/context.
ja_cc_level2:0000000052:u0005	Fix	Review	known_or_suspected_mechanical_error	NASCとしても、この状況の中、参加型の発表ができる企画として、半ば本番を想定できずに実行したところがありますが、13人の方に発表いただき、多くの方にその発表をご覧いただけてとてもうれしく思います。	NASC/NASC と/ト し/シ て/テ も/モ 、/、 この/コノ 状況/ジョウキョウ の/ノ 中/ナカ 、/、 参加/サンカ 型/ガタ の/ノ 発表/ハッピョウ が/ガ できる/デキル 企画/キカク と/ト し/シ て/テ 、/、 半ば/ナカバ 本番/ホンバン を/ヲ 想定/ソウテイ でき/デキ ず/ズ に/ニ 実行/ジッコウ し/シ た/タ ところ/トコロ が/ガ あり/アリ ます/マス が/ガ 、/、 1/イチ 3/サン 人/ニン の/ノ 方/ホウ に/ニ 発表/ハッピョウ いただき/イタダキ 、/、 多く/オオク の/ノ 方/カタ に/ニ その/ソノ 発表/ハッピョウ を/ヲ ご覧/ゴラン いただけ/イタダケ て/テ とても/トテモ うれしく/ウレシク 思い/オモイ ます/マス 。/。	Likely person-sense 方; should be カタ.	Manual split of Review: concrete yomi error is present and should be repairable from the available unit/context.
ja_cc_level2:0000000020:u0014:synthetic_review:001	Fix	Review	synthetic_bad_reading_injected	どうしよう、困ったな、と思いながらも、学校は行った方がいいけど、必ずしも行かなければならないところじゃない、と考えていた私は、ある程度はなだめすかしたりしましたが、最後には、休みたいなら休んでいいよ、と言いました。	どう/ドウ しよう/シヨウ 、/、 困っ/コマッ た/タ な/ナ 、/、 と/ト 思い/オモイ ながら/ナガラ も/モ 、/、 学校/ガクコウ は/ハ 行っ/イッ た/タ 方/ホウ が/ガ いい/イイ けど/ケド 、/、 必ず/カナラズ しも/シモ 行か/イカ なけれ/ナケレ ば/バ なら/ナラ ない/ナイ ところ/トコロ じゃ/ジャ ない/ナイ 、/、 と/ト 考え/カンガエ て/テ い/イ た/タ 私/ワタクシ は/ハ 、/、 ある/アル 程度/テイド は/ハ なだめすかし/ナダメスカシ たり/タリ し/シ まし/マシ た/タ が/ガ 、/、 最後/サイゴ に/ニ は/ハ 、/、 休み/ヤスミ たい/タイ なら/ナラ 休ん/ヤスン で/デ いい/イイ よ/ヨ 、/、 と/ト 言い/イイ まし/マシ た/タ 。/。	Synthetic wrong on-yomi-like reading for 学校. Original annotation had 学校/ガッコウ; the eval row intentionally changes it to 学校/ガクコウ.	Manual split of Review: concrete yomi error is present and should be repairable from the available unit/context.
ja_cc_level2:0000000021:u0001:synthetic_review:002	Fix	Review	synthetic_bad_reading_injected	パーソナルトレーニングはアスリートやモデルが利用するイメージがありますが、最近では一般人でもダイエットの一環として取り入れている人もいます。	パーソナル/パーソナル トレーニング/トレーニング は/ハ アスリート/アスリート や/ヤ モデル/モデル が/ガ 利用/リヨウ する/スル イメージ/イメージ が/ガ あり/アリ ます/マス が/ガ 、/、 最近/サイキン で/デ は/ハ 一般人/イッパンジン で/デ も/モ ダイエット/ダイエット の/ノ 一環/イッカン と/ト し/シ て/テ 取り入れ/トリイレ て/テ いる/イル 人/ジン も/モ い/イ ます/マス 。/。	Synthetic wrong reading for standalone 人. Original annotation had 人/ヒト; the eval row intentionally changes it to 人/ジン.	Manual split of Review: concrete yomi error is present and should be repairable from the available unit/context.
ja_cc_level2:0000000021:u0005:synthetic_review:003	Fix	Review	synthetic_bad_reading_injected	専属トレーナーをつけようか考えている人はぜひ最後まで読んでください。	専属/センゾク トレーナー/トレーナー を/ヲ つけよう/ツケヨウ か/カ 考え/カンガエ て/テ いる/イル 人/ジン は/ハ ぜひ/ゼヒ 最後/サイゴ まで/マデ 読ん/ヨン で/デ ください/クダサイ 。/。	Synthetic wrong reading for standalone 人. Original annotation had 人/ヒト; the eval row intentionally changes it to 人/ジン.	Manual split of Review: concrete yomi error is present and should be repairable from the available unit/context.
