review_status	expected_reading	item_id	surface	current_reading_hiragana	llm_reading	llm_raw_text	llm_parse_error	seed_source	feature_bucket	unit_id	token_surface	chunk_index	marked_text	note
accepted_seed	いた	kanji_pain_001	痛					regression_gold_seed	single_kanji_context		痛		目が**痛**い。	Basic okurigana exclusion pattern.
accepted_seed	ちゅう	kanji_middle_001	中					regression_gold_seed	single_kanji_context		中		午前**中**に連絡します。	Standalone context selects ちゅう.
accepted_seed	ひび	iteration_hibi_001	日々					regression_gold_seed	iteration_mark		日々		運動だけをしていても、**日々**の食生活が悪かったら思うように体は締まりません。	Iteration-mark word must be one target, not 日 alone.
accepted_seed	おーけー	alphabetic_ok_001	OK					regression_gold_seed	latin		OK		30分程度でも**OK**なので、会う頻度を上げたほうがいいです。	Alphabetic target should use the marked target, not nearby kanji.
accepted_seed	えすえぬえす	alphabetic_sns_001	SNS					regression_gold_seed	latin		SNS		フェイスブックに代表される**SNS**がお付き合いの機会として認められています。	Alphabetic acronym target should be read directly.
		ja_cc_level2:0000000001:u0004:r0009c01	日増	ひま		"{""日増"":""ひま""し}"	"Expected a JSON object, a completion like ""よみ""}, or a bare reading."	llm_failure_seed	okurigana_chunk	ja_cc_level2:0000000001:u0004	日増し	0	東京オリンピックが近くづくにつれて**日増**しに都内を訪れる外国人数が増えています。	
		ja_cc_level2:0000000001:u0005:r0005c01	後	ご	あと	"{""後"":""あと""}"		llm_failure_seed	single_kanji_context	ja_cc_level2:0000000001:u0005	後	0	この数字はオリンピック**後**も増え続けることが予想されています。	
		ja_cc_level2:0000000001:u0008:r0013c01	乗	の		"の{""乗"":""の""}り越えた"	"Expected a JSON object, a completion like ""よみ""}, or a bare reading."	llm_failure_seed	okurigana_chunk	ja_cc_level2:0000000001:u0008	乗り越え	0	もしもこの記事に書いてある方法でいっときを**乗**り越えたとしても、のちのち辛い思いをして後悔する日がくる可能性が限りなく高いです。	
		ja_cc_level2:0000000002:u0011:r0010c01	辺	あた	あたり	"{""辺"":""あたり""}"		llm_failure_seed	okurigana_chunk	ja_cc_level2:0000000002:u0011	辺り	0	どうしようかと思って、レジの**辺**りをちらっと見ると、そこに座っていたのはおばあさんでした。	
		ja_cc_level2:0000000002:u0013:r0007c01	気	げ	け	"{""気"":""け""}"		llm_failure_seed	okurigana_chunk	ja_cc_level2:0000000002:u0013	さり気なく	0	おばあさんもこちらをさり**気**なくうかがっているようでした。	
		ja_cc_level2:0000000002:u0020:r0023c01	入	はい	い	"{""入"":""い""}"		llm_failure_seed	okurigana_chunk	ja_cc_level2:0000000002:u0020	入ら	0	ほっとはしたものの、散歩ともう一つの目的の『ペン習字の練習帳』が手に**入**らず、なんとなくスッキリとしません。	
		ja_cc_level2:0000000003:u0006:r0049c01	起	お	おこる	おこる		llm_failure_seed	okurigana_chunk	ja_cc_level2:0000000003:u0006	起こる	0	上腕骨に発生する投球骨折や相撲骨折、手首の骨折や骨盤の裂離骨折など、スポーツ活動に特有の骨折もありますが、スポーツ外傷の形態自体には、スポーツ活動によるものと日常生活で**起**こるものとの差はありません。	
		ja_cc_level2:0000000004:u0005:r0005c01	国	こく	くに	"{""国"":""くに""}"		llm_failure_seed	okurigana_chunk	ja_cc_level2:0000000004:u0005	カ国	0	いよいよ193カ**国**も見えてきました！	
		ja_cc_level2:0000000004:u0007:r0002c01	近々	きんきん	ちかぢか	"{""近々"":""ちかぢか""}"		llm_failure_seed	iteration_mark	ja_cc_level2:0000000004:u0007	近々	0	もし**近々**渡航予定のある方は是非本企画にご参加いただけますとうれしいです。	
		ja_cc_level2:0000000005:u0004:r0004c01	問	と	とい	"{""問"":""とい""}"		llm_failure_seed	okurigana_chunk	ja_cc_level2:0000000005:u0004	問い合わせ	0	お客様のお**問**い合わせ種別に該当する番号をお選びください。	
		ja_cc_level2:0000000005:u0005:r0013c01	FX	えふえっくす	えふえっくす	"{""痛"":""いた"",""SNS"":""エスエヌエス"",""FX"":""エフエックス""}"		llm_failure_seed	latin	ja_cc_level2:0000000005:u0005	FX	0	※18：00〜8：00は**FX**取引・CFD取引および口座開設に関するお問い合わせのみ受け付けております。	
		ja_cc_level2:0000000005:u0005:r0026c02	付	つ	う	"{""付"":""う""}"		llm_failure_seed	okurigana_chunk	ja_cc_level2:0000000005:u0005	受け付け	1	※18：00〜8：00はFX取引・CFD取引および口座開設に関するお問い合わせのみ受け**付**けております。	
		ja_cc_level2:0000000005:u0006:r0018c01	繋	つな	つなぎ	つなぎ		llm_failure_seed	okurigana_chunk	ja_cc_level2:0000000005:u0006	繋ぎ	0	その際、サービス番号選択のアナウンスは流れず、サポートスタッフに直接お**繋**ぎいたします。	
		ja_cc_level2:0000000004:u0002:r0006c01	Tシャツ	てぃーしゃつ	てぃーしゃつ	"{""Tシャツ"":""ティーシャツ""}"		stratified_queue_sample	latin	ja_cc_level2:0000000004:u0002	Tシャツ	0	参加メンバーがリーマントラベラー**Tシャツ**を着て海外に渡航し、国連加盟国193カ国全制覇を目指しています。	
		ja_cc_level2:0000000002:u0017:r0006c01	揚々	ようよう	ようよう	"{""揚々"":""ようよう""}"		stratified_queue_sample	iteration_mark	ja_cc_level2:0000000002:u0017	揚々	0	そうして、意気**揚々**と向かってみると、おばあさんが店番をやっていた昭和レトロのお店のシャッターには、・・・の張り紙があったのでした。	
		ja_cc_level2:0000000002:u0024:r0003c01	帰	かえ	かえ	"{""帰"":""かえ""}"		stratified_queue_sample	okurigana_chunk	ja_cc_level2:0000000002:u0024	帰っ	0	家に**帰**ってから、ペン習字練習帳をよく見てみると、買ってきたのは『基礎編』でした。	
		ja_cc_level2:0000000004:u0003:r0002c01	本	ほん	ほん	"{""本"":""ほん""}"		stratified_queue_sample	single_kanji_context	ja_cc_level2:0000000004:u0003	本	0	そんな**本**企画ですが、夏休みシーズンで一気に20カ国以上制覇しまして、現在は142カ国制覇！	
		ja_cc_level2:0000000002:u0001:r0004c01	文具店	ぶんぐてん	ぶんぐてん	"{""文具店"":""ぶんぐてん""}"		stratified_queue_sample	multi_kanji_compound	ja_cc_level2:0000000002:u0001	文具店	0	昭和レトロの**文具店**のような本屋さんへ行ってみました。	
		ja_cc_level2:0000000005:u0005:r0016c01	CFD	しーえふでぃー	しーえふでぃー	"{""CFD"":""シーエフディー""}"		stratified_queue_sample	latin	ja_cc_level2:0000000005:u0005	CFD	0	※18：00〜8：00はFX取引・**CFD**取引および口座開設に関するお問い合わせのみ受け付けております。	
		ja_cc_level2:0000000002:u0011:r0019c01	座	すわ	すわ	"{""座"":""すわ""}"		stratified_queue_sample	okurigana_chunk	ja_cc_level2:0000000002:u0011	座っ	0	どうしようかと思って、レジの辺りをちらっと見ると、そこに**座**っていたのはおばあさんでした。	
		ja_cc_level2:0000000002:u0003:r0012c01	店	みせ	みせ	"{""店"":""みせ""}"		stratified_queue_sample	single_kanji_context	ja_cc_level2:0000000002:u0003	店	0	売り上げがないお店で使ったお金は、その**店**にとっての売り上げで占める割合が大きく、貴重なお金になるからだということでした。	
		ja_cc_level2:0000000002:u0024:r0025c01	基礎編	きそへん	きそへん	"{""基礎編"":""きそへん""}"		stratified_queue_sample	multi_kanji_compound	ja_cc_level2:0000000002:u0024	基礎編	0	家に帰ってから、ペン習字練習帳をよく見てみると、買ってきたのは『**基礎編**』でした。	
		ja_cc_level2:0000000002:u0005:r0002c01	同	おな	おな	"{""同"":""おな""}"		stratified_queue_sample	okurigana_chunk	ja_cc_level2:0000000002:u0005	同じ	0	もし**同**じようなモノを買うのなら、なるべくお客さんんが少ないお店で買おうと思いました。	
		ja_cc_level2:0000000002:u0016:r0007c01	本	ほん	ほん	"{""本"":""ほん""}"		stratified_queue_sample	single_kanji_context	ja_cc_level2:0000000002:u0016	本	0	そう、あの時、どの**本**を買おうかを迷った時、棚のすみっこのほうにペン習字の練習帳があったのを思い出したからなのです。	
		ja_cc_level2:0000000003:u0006:r0008c01	相撲	すもう	すもう	すもう		stratified_queue_sample	multi_kanji_compound	ja_cc_level2:0000000003:u0006	相撲	0	上腕骨に発生する投球骨折や**相撲**骨折、手首の骨折や骨盤の裂離骨折など、スポーツ活動に特有の骨折もありますが、スポーツ外傷の形態自体には、スポーツ活動によるものと日常生活で起こるものとの差はありません。	
		ja_cc_level2:0000000002:u0007:r0004c01	店	みせ	みせ	"{""店"":""みせ""}"		stratified_queue_sample	okurigana_chunk	ja_cc_level2:0000000002:u0007	お店	0	さて、そのお**店**は、外見は文具店でしたが、入ってみると中は本屋さんでした。	
		ja_cc_level2:0000000002:u0023:r0011c01	得	とく	とく	"{""得"":""とく""}"		stratified_queue_sample	single_kanji_context	ja_cc_level2:0000000002:u0023	得	0	とすぐに購入して、なんだか**得**した気分で帰途につきました。	
		ja_cc_level2:0000000003:u0004:r0003c01	青山駅	あおやまえき	あおやまえき	"{""青山駅"":""あおやまえき""}"		stratified_queue_sample	multi_kanji_compound	ja_cc_level2:0000000003:u0004	青山駅	0	盛岡駅・**青山駅**・仙北駅の佐々木長生院・整骨院では、原因をしっかりと見極めた上で、適切な対処をしていきます。	
		ja_cc_level2:0000000002:u0003:r0026c01	金	かね	かね	"{""金"":""かね""}"		stratified_queue_sample	okurigana_chunk	ja_cc_level2:0000000002:u0003	お金	0	売り上げがないお店で使ったお金は、その店にとっての売り上げで占める割合が大きく、貴重なお**金**になるからだということでした。	
		ja_cc_level2:0000000002:u0020:r0008c01	一	ひと	ひと	"{""一"":""ひと""}"		stratified_queue_sample	single_kanji_context	ja_cc_level2:0000000002:u0020	一	0	ほっとはしたものの、散歩ともう**一**つの目的の『ペン習字の練習帳』が手に入らず、なんとなくスッキリとしません。	
		ja_cc_level2:0000000002:u0009:r0005c01	古本屋	ふるほんや	ふるほんや	"{""古本屋"":""ふるほんや""}"		stratified_queue_sample	multi_kanji_compound	ja_cc_level2:0000000002:u0009	古本屋	0	古めですが、**古本屋**さんではありません。	
		ja_cc_level2:0000000001:u0016:r0005c01	押	お	お	"{""押"":""お""}"		stratified_queue_sample	okurigana_chunk	ja_cc_level2:0000000001:u0016	押し潰さ	0	恐怖と不安で**押**し潰されそうになってしまうものです。	
		ja_cc_level2:0000000001:u0015:r0003c01	次	つぎ	つぎ	"{""次"":""つぎ""}"		stratified_queue_sample	single_kanji_context	ja_cc_level2:0000000001:u0015	次	0	これから**次**の給料日までを想像すると。	
		ja_cc_level2:0000000001:u0015:r0005c01	給料日	きゅうりょうび	きゅうりょうび	"{""給料日"":""きゅうりょうび""}"		stratified_queue_sample	multi_kanji_compound	ja_cc_level2:0000000001:u0015	給料日	0	これから次の**給料日**までを想像すると。	
		ja_cc_level2:0000000003:u0002:r0012c01	異	こと	こと	"{""異"":""こと""}"		stratified_queue_sample	okurigana_chunk	ja_cc_level2:0000000003:u0002	異なっ	0	スポーツによって発生しやすい外傷や障害は**異**なっていて、それぞれに症状も違っています。	
		ja_cc_level2:0000000002:u0027:r0009c01	編	へん	へん	"{""編"":""へん""}"		stratified_queue_sample	single_kanji_context	ja_cc_level2:0000000002:u0027	編	0	ワタクシは、きっとこの百均の実用**編**も買うことになるでしょう。	
		ja_cc_level2:0000000003:u0006:r0001c01	上腕骨	じょうわんこつ	じょうわんこつ	"{""上腕骨"":""じょうわんこつ""}"		stratified_queue_sample	multi_kanji_compound	ja_cc_level2:0000000003:u0006	上腕骨	0	**上腕骨**に発生する投球骨折や相撲骨折、手首の骨折や骨盤の裂離骨折など、スポーツ活動に特有の骨折もありますが、スポーツ外傷の形態自体には、スポーツ活動によるものと日常生活で起こるものとの差はありません。	
		ja_cc_level2:0000000005:u0004:r0001c01	客様	きゃくさま	きゃくさま	"{""客様"":""きゃくさま""}"		stratified_queue_sample	okurigana_chunk	ja_cc_level2:0000000005:u0004	お客様	0	お**客様**のお問い合わせ種別に該当する番号をお選びください。	
		ja_cc_level2:0000000002:u0025:r0017c01	編	へん	へん	"{""編"":""へん""}"		stratified_queue_sample	single_kanji_context	ja_cc_level2:0000000002:u0025	編	0	とゆうことはと、よく見てみれば、どうやら『実用**編**』もあるようでした。	
		ja_cc_level2:0000000003:u0004:r0001c01	盛岡駅	もりおかえき	もりおかえき	"{""盛岡駅"":""もりおかえき""}"		stratified_queue_sample	multi_kanji_compound	ja_cc_level2:0000000003:u0004	盛岡駅	0	**盛岡駅**・青山駅・仙北駅の佐々木長生院・整骨院では、原因をしっかりと見極めた上で、適切な対処をしていきます。	
